termId,searchTerm,language,country,resultNum,resultTime
44,Марс,ru,ru,18100000,1.46
44,מאדים,iw,il,468000,4.6
44,المريخ,ar,eg,6640000,1.14
45,asteroids,en,us,170000000,7.01
45,астероиды,ru,ru,1050000,0.81
45,אסטרואיד,iw,il,104000,0.57
45,الكويكبات,ar,eg,434000,2.09
46,CRISPR,en,us,131000000,1.27
46,криспр,ru,ru,2330,1.47
46,קריספר,iw,il,26500,1.51
46,كريسبر,ar,eg,66900,1.55
47,Autonomic car,en,us,23300000,1.41
47,беспилотный автомобиль,ru,ru,543000,1.06
47,מכונית אוטונומית,iw,il,85700,0.81
47,سيارة ذاتية القيادة,ar,eg,1270000,0.75
49,black hole,en,us,2220000000,3.99
49,черная дыра,ru,ru,3570000,1.21
49,חור שחור,iw,il,1820000,2.49
49,الثقب الاسود,ar,eg,204000,1.39
52,Mutation,en,us,3610000000,1.09
52,Мутация,ru,ru,3410000,2.38
52,מוטציות,iw,il,184000,1.41
52,طفرة,ar,eg,4900000,2.5
53,Malnutrition,en,US,227000000,0.7
53,недостаточное питание,ru,RU,1750000,1.02
53,תת תזונה,iw,IL,345000,1.14
53,سوء التغذية,ar,EG,5430000,0.68
56,Calorie,en,US,3390000000,8.78
56,Калория,ru,RU,1090000,8.87
56,קלוריה,iw,IL,46300,1.04
56,سعرة حرارية,ar,EG,4150000,0.62
58,Renewable Energy,en,US,3360000000,0.88
58,Возобновляемая энергия,ru,RU,327000,8.69
58,אנרגיה מתחדשת,iw,IL,341000,4.18
58,طاقة متجددة,ar,EG,777000,0.63
59,Climate change,en,US,2360000000,6.83
59,Глобальное потепление,ru,RU,3960000,1.28
59,שינוי אקלים,iw,IL,480000,6.33
59,الاحتباس الحراري,ar,EG,1530000,1.43
65,Soil contamination,en,US,2380000000,0.65
65,Загрязнение почвы,ru,RU,3970000,1.25
65,זיהום קרקע,iw,IL,697000,13.27
65,تلوث التربة,ar,EG,1390000,1.19
66,Greenhouse gas,en,US,223000000,2.3
66,Парниковые газы,ru,RU,276000,2.21
66,גז חממה,iw,IL,111000,0.64
66,غازات دفيئة,ar,EG,22500,2.85
68,Infection,en,US,4560000000,3.58
68,Инфекция,ru,RU,21100000,2.3
68,זיהום רפואה,iw,IL,756000,2.3
68,عدوى,ar,EG,10200000,3.05
70,Flood,en,US,6080000000,0.84
70,Наводнение,ru,RU,4300000,0.66
70,שיטפון,iw,IL,334000,0.92
70,الفيضان,ar,EG,1140000,14.98
71,Drought,en,US,2250000000,1.04
71,Засуха,ru,RU,3140000,1.01
71,בצורת,iw,IL,6940000,0.71
71,جفاف,ar,EG,17700000,3.62
72,Covid ,en,us,13170000000,1.47
72,кови́д,ru,ru,132000000,2
72,קורונה,iw,il,22700000,1.28
72,كورونا,ar,eg,227000000,1.43
73,Cultured meat,en,us,34700000,0.99
73,Искусственное мясо,ru,ru,681000,3.77
73,בשר מתורבת,iw,il,19300,2.28
73,لحم مصنع,ar,eg,8530000,4.28
74,Tissue engineering,en,us,220000000,1.02
74,Тканевая инженерия,ru,ru,57800,2.58
74,הנדסת רקמות,iw,il,49300,2.71
74,هندسة الأنسجة,ar,eg,638000,1.24
75,Protein folding,en,us,84000000,0.85
75,Фолдинг белка,ru,ru,19300,2.85
75,קיפול חלבונים,iw,il,19500,1.42
75,تطوي البروتين,ar,eg,120000,0.66
76,Immunotherapy,en,us,145000000,2
76,Иммунотерапия,ru,ru,782000,1.12
76,אימונותרפיה,iw,il,38100,0.85
76,علاج مناعي,ar,eg,4140000,2.44
