termId,searchTerm,language,position,title,link,definition,information,visualization,site quality,Adds
6,מערכת אקולוגית,iw,1,מערכת אקולוגית - ויקיפדיה,https://he.wikipedia.org/wiki/מערכת_אקולוגית,3,3,2,3,0
6,מערכת אקולוגית,iw,2,מערכות אקולוגיות - מגוון ביולוגי - טבע BIZ,https://tevabiz.org.il/habitat/ecosystem/,3,3,3,1,0
6,מערכת אקולוגית,iw,3,מערכת אקולוגית - אקו-ויקי,https://ecowiki.org.il/wiki/מערכת_אקולוגית,3,3,2,3,0
6,نظام بيئي,ar,1,نظام بيئي - ويكيبيديا,https://ar.wikipedia.org/wiki/نظام_بيئي,3,3,1,3,0
6,نظام بيئي,ar,2,تعريف النظام البيئي - موضوع,https://mawdoo3.com/تعريف_النظام_البيئي,3,2,1,2,0
6,نظام بيئي,ar,3,النظام البيئي | ما أهميته ومم يتكون وكيف يمكن الحفاظ عليه؟,https://www.twinkl.com.eg/teaching-wiki/alnzam-albyyy,3,3,1,1,0
8,Pollution,en,1,Air pollution - WHO | World Health Organization,https://www.who.int/health-topics/air-pollution,3,3,2,3,0
8,Pollution,en,2,"pollution | Definition, History, Types, & Facts - Encyclopedia ...",https://www.britannica.com/science/pollution-environment,3,3,3,3,0
8,Pollution,en,3,Pollution Facts & Types of Pollution - Live Science,https://www.livescience.com/22728-pollution-facts.html,3,3,2,2,1
8,Загрязнение,ru,1,Загрязнение окружающей среды — все статьи и новости,https://indicator.ru/label/zagryaznenie-okruzhayushej-sredy,3,2,1,3,0
8,Загрязнение,ru,2,Города и загрязнение | Организация Объединенных Наций,https://www.un.org/ru/climatechange/climate-solutions/cities-pollution,3,2,1,3,0
8,Загрязнение,ru,3,Загрязнение атмосферного воздуха - WHO | World Health ...,https://www.who.int/ru/news-room/fact-sheets/detail/ambient-(outdoor)-air-quality-and-health,3,3,0,3,0
8,זיהום הסביבה,iw,1,זיהום הסביבה - ויקיפדיה,https://he.wikipedia.org/wiki/זיהום_הסביבה,3,2,2,3,0
8,זיהום הסביבה,iw,2,המחיר הקטלני של זיהום הסביבה - מכון דוידסון,https://davidson.weizmann.ac.il/online/sciencenews/המחיר-הקטלני-של-זיהום-הסביבה,1,2,1,3,0
8,זיהום הסביבה,iw,3,זיהום סביבה - גלובס,https://www.globes.co.il/news/זיהום_סביבה.tag,0,2,0,2,0
8,تلوث,ar,1,تلوث - ويكيبيديا,https://ar.wikipedia.org/wiki/تلوث,3,3,3,3,0
8,تلوث,ar,2,تلوث الهواء المحيط (الهواء الخارجي) - WHO | World Health ...,https://www.who.int/ar/news-room/fact-sheets/detail/ambient-(outdoor)-air-quality-and-health,3,3,0,3,0
8,تلوث,ar,3,تلوّث الهواء داخل المنزل والصحة - WHO | World Health ...,https://www.who.int/ar/news-room/fact-sheets/detail/household-air-pollution-and-health,3,3,0,3,0
12,Fungus,en,1,Fungus - Wikipedia,https://en.wikipedia.org/wiki/Fungus,3,3,3,3,0
12,Fungus,en,2,"fungus | Definition, Characteristics, Types, & Facts",https://www.britannica.com/science/fungus,3,3,3,3,0
12,Fungus,en,3,fungus - Importance of fungi - Encyclopedia Britannica,https://www.britannica.com/science/fungus/Importance-of-fungi,3,3,3,3,0
12,Грибы,ru,1,Грибы - Википедия,https://ru.wikipedia.org/wiki/Грибы,3,3,3,3,0
12,Грибы,ru,2,О грибах - Центр гигиенического образования населения,http://cgon.rospotrebnadzor.ru/content/62/961,2,3,3,3,0
12,Грибы,ru,3,Благородные грибы. Царство грибов @Моя Планета,https://www.youtube.com/watch?v=nCXTTKNosg4,1,1,3,3,0
12,פטריות,iw,1,פטריות - ויקיפדיה,https://he.wikipedia.org/wiki/פטריות,3,3,3,3,0
12,פטריות,iw,2,על רגל אחת: שלושה מתכוני פטריות זריזים - Ynet,https://www.ynet.co.il/food/recipies/article/hy8amvqe5,0,0,1,3,1
12,פטריות,iw,3,"מדריך הפטריות השלם | כתבות - כל הטוב שבטבע, איך שטוב לכם",https://www.yad-mordechai.co.il/Article/mushrooms-guide,0,0,3,3,1
12,فطر,ar,1,فطر - ويكيبيديا,https://ar.wikipedia.org/wiki/فطر,3,3,2,3,0
12,فطر,ar,2,عيش الغراب - ويكيبيديا,https://ar.wikipedia.org/wiki/عيش_الغراب,2,3,2,3,0
12,فطر,ar,3,فوائد الفطر وأشهر أنواعه - ويب طب,https://www.webteb.com/articles/فوائد-الفطر-وانواعه_15328,1,1,1,2,0
13,Mammal,en,1,Mammal - Wikipedia,https://en.wikipedia.org/wiki/Mammal,3,3,3,3,0
13,Mammal,en,2,"mammal | Definition, Characteristics, Classification ...",https://www.britannica.com/animal/mammal,3,3,3,3,0
13,Mammal,en,3,Mammals - National Geographic Kids,https://kids.nationalgeographic.com/animals/mammals,3,1,2,3,0
13,Млекопитающие,ru,1,Млекопитающие - Википедия,https://ru.wikipedia.org/wiki/Млекопитающие,3,3,3,3,0
13,Млекопитающие,ru,2,Млекопитающие - Пензенский зоопарк,https://www.zoo-penza.ru/animals/mlekopitayushchie/,3,1,3,2,1
13,Млекопитающие,ru,3,млекопита́ющие - Большая российская энциклопедия,https://bigenc.ru/biology/text/2220123,3,2,1,2,0
13,יונקים,iw,1,יונקים - ויקיפדיה,https://he.wikipedia.org/wiki/יונקים,3,3,3,3,0
13,יונקים,iw,2,פורטל:יונקים - ויקיפדיה,https://he.wikipedia.org/wiki/פורטל:יונקים,3,3,3,2,0
13,יונקים,iw,3,יונקים - בריינפופ ישראל,https://il.brainpop.com/category_8/subcategory_93/subjects_3035/,0,0,1,1,0
13,ثدييات,ar,1,ثدييات - ويكيبيديا,https://ar.wikipedia.org/wiki/ثدييات,3,3,3,3,0
13,ثدييات,ar,2,بوابة:ثدييات - ويكيبيديا,https://ar.wikipedia.org/wiki/بوابة:ثدييات,3,2,3,2,0
13,ثدييات,ar,3,ما هي الثدييات - موضوع,https://mawdoo3.com/ما_هي_الثدييات,3,3,3,2,0
16,Solution,en,1,Solution Definition & Meaning - Merriam-Webster,https://www.merriam-webster.com/dictionary/solution,1,1,0,2,1
16,Solution,en,2,solution | Definition & Examples - Encyclopedia Britannica,https://www.britannica.com/science/solution-chemistry,3,3,2,3,0
16,Solution,en,3,Solution Definition & Meaning - Dictionary.com,https://www.dictionary.com/browse/solution,1,0,0,1,0
16,Раствор,ru,1,Раствор - Википедия,https://ru.wikipedia.org/wiki/Раствор,3,2,0,3,0
16,Раствор,ru,2,раствор - Викисловарь,https://ru.wiktionary.org/wiki/раствор,2,2,1,3,0
16,Раствор,ru,3,Купить раствор для контактных линз по выгодным ценам в,https://ochkarik.ru/accessories/rastvory/,0,0,1,1,1
16,תמיסה,iw,1,תמיסה - ויקיפדיה,https://he.wikipedia.org/wiki/תמיסה,3,1,0,3,0
16,תמיסה,iw,2,תמיסה - – המכלול,https://www.hamichlol.org.il/תמיסה,3,1,0,3,0
16,תמיסה,iw,3,סיכום על נושא תמיסות - מדעים,http://www.mada.yefenof.manhi.org.il/BRPortal/br/P102.jsp?arc=190317,3,1,1,2,0
16,محلول,ar,1,محلول - ويكيبيديا,https://ar.wikipedia.org/wiki/محلول,3,2,1,3,0
16,محلول,ar,2,محلول ملحي (طب) - ويكيبيديا,https://ar.wikipedia.org/wiki/محلول_ملحي_(طب),3,2,1,3,0
16,محلول,ar,3,المحاليل الوريدية - أنواعها واستخداماتها - FADIC,https://fadic.net/المحاليل-الوريدية-أنواعها-واستخداما/,1,2,2,1,1
20,Atom,en,1,Atom,https://atom.io/,0,0,1,3,0
20,Atom,en,2,"Movies: Find Showtimes, Buy Movie Tickets & More | Atom ...",https://www.atomtickets.com/,0,0,0,1,0
20,Atom,en,3,Atom - Wikipedia,https://en.wikipedia.org/wiki/Atom,3,1,3,3,0
20,Атом,ru,1,Атом - Википедия,https://ru.wikipedia.org/wiki/Атом,3,1,3,3,0
20,Атом,ru,2,Браузер Atom,https://browser.ru/,1,1,0,2,1
20,Атом,ru,3,Атом — все статьи и новости - Индикатор - Indicator.Ru,https://indicator.ru/label/atom,3,2,3,3,0
20,אטום,iw,1,אטום - ויקיפדיה,https://he.wikipedia.org/wiki/אטום,3,1,2,3,0
20,אטום,iw,2,אטום (פירושונים) - ויקיפדיה,https://he.wikipedia.org/wiki/אטום_(פירושונים),3,1,0,3,0
20,אטום,iw,3,אטום - מטח,https://lib.cet.ac.il/pages/item.asp?item=7286,3,2,0,3,0
20,ذرة,ar,1,ذرة - ويكيبيديا,https://ar.wikipedia.org/wiki/ذرة,3,2,2,3,0
20,ذرة,ar,2,ذرة (نبات) - ويكيبيديا,https://ar.wikipedia.org/wiki/ذرة_(نبات),3,1,1,3,0
20,ذرة,ar,3,تسوق حبوب ذرة اونلاين - اشترى السوبر ماركت ... - كارفور مصر,https://www.carrefouregypt.com/mafegy/ar/c/FEGY1714117,0,0,1,1,1
28,Energy,en,1,Department of Energy,https://www.energy.gov/,1,2,3,3,0
28,Energy,en,2,Entergy | We Power Life,https://www.entergy.com/,0,0,3,3,0
28,Energy,en,3,Energy - Wikipedia,https://en.wikipedia.org/wiki/Energy,3,1,3,3,0
28,Энергия,ru,1,Транспортные компании. ТК Энергия. Доставка грузов по ...,https://nrg-tk.ru/,1,1,1,1,1
28,Энергия,ru,2,Энергия - Википедия,https://ru.wikipedia.org/wiki/Энергия,3,1,3,3,0
28,Энергия,ru,3,ЭТК «Энергия» | Официальный сайт производителя,https://xn--c1adkrq9eta.xn--p1ai/,1,1,1,1,1
28,אנרגיה,iw,1,אנרגיה - ויקיפדיה,https://he.wikipedia.org/wiki/אנרגיה,3,3,1,3,0
28,אנרגיה,iw,2,מהי אנרגיה? - מכון דוידסון,https://davidson.weizmann.ac.il/online/askexpert/מהי-אנרגיה,3,2,3,2,0
28,אנרגיה,iw,3,מבוא: מהי אנרגיה? | אנרגיה בהיבט רב תחומי,https://stwww1.weizmann.ac.il/energy/1-1-מבוא-מהי-אנרגיה/,3,2,0,2,0
28,طاقة,ar,1,طاقة - ويكيبيديا,https://ar.wikipedia.org/wiki/طاقة,3,3,3,3,0
28,طاقة,ar,2,الطاقة - أول منصة عربية متخصصة في أخبار الطاقة,https://attaqa.net/,1,2,3,1,1
28,طاقة,ar,3,Powering a Thriving Future - TAQA,https://www.taqa.com/ar/,0,1,3,3,1
29,Weight,en,1,Personalized Weight Loss Like Never Before—No Two Plans ...,https://www.weightwatchers.com/us/,0,0,0,2,1
29,Weight,en,2,Weight Definition & Meaning - Merriam-Webster,https://www.merriam-webster.com/dictionary/weight,2,1,0,3,1
29,Weight,en,3,Healthy Weight & Weight Management - WebMD,https://www.webmd.com/diet/obesity/healthy-weight,1,1,3,2,1
29,Вес,ru,1,Вес - Википедия,https://ru.wikipedia.org/wiki/Вес,3,3,2,3,0
29,Вес,ru,2,ИМТ-калькулятор: рассчитайте свой идеальный вес - NIVEA,https://www.nivea.ru/advice/calculator-bmi,0,0,1,2,0
29,Вес,ru,3,Индекс массы тела (индекс Кетле) - MSD Manuals,https://www.msdmanuals.com/medical-calculators/BodyMassIndex-ru.htm,0,0,0,1,0
29,משקל,iw,1,משקל (פיזיקה) - ויקיפדיה,https://he.wikipedia.org/wiki/משקל_(פיזיקה),3,2,1,3,0
29,משקל,iw,2,משקל - ויקיפדיה,https://he.wikipedia.org/wiki/משקל,2,3,0,3,0
29,משקל,iw,3,מחשבון BMI: חשבו בקלות את ה־BMI שלכם - אתר כללית,https://www.clalit.co.il/he/lifestyle/nutrition/Pages/BMI_Calculator.aspx,0,0,1,2,1
29,وزن,ar,1,وزن - ويكيبيديا,https://ar.wikipedia.org/wiki/وزن,3,2,0,3,0
29,وزن,ar,2,حاسبة مؤشر كتلة الجسم (BMI) - ويب طب,https://www.webteb.com/diet/حاسبة-مؤشر-كتلة-الجسم-bmi,0,0,1,1,0
29,وزن,ar,3,حساب الوزن المثالي - حساب كتلة الجسم - BMI - مملكة الويب,https://www.un-web.com/tools/bmi/,0,0,0,1,1
35,Solar system,en,1,Overview | Our Solar System,https://solarsystem.nasa.gov/solar-system/our-solar-system/overview/,3,3,3,3,0
35,Solar system,en,2,Solar System - Wikipedia,https://en.wikipedia.org/wiki/Solar_System,3,3,3,3,0
35,Solar system,en,3,"Solar system planets, order and formation: A guide | Space",https://www.space.com/16080-solar-system-planets.html,3,3,3,2,1
35,Солнечная система,ru,1,Солнечная система - Википедия,https://ru.wikipedia.org/wiki/Солнечная_система,3,3,3,3,0
35,Солнечная система,ru,2,Что такое Солнечная система и насколько она изучена,https://trends.rbc.ru/trends/futurology/627507fe9a79477a2051ad67,2,3,3,3,1
35,Солнечная система,ru,3,Солнечная система — все статьи и новости - Indicator.Ru,https://indicator.ru/label/solnechnaya-sistema,3,2,3,3,0
35,מערכת השמש,iw,1,מערכת השמש - ויקיפדיה,https://he.wikipedia.org/wiki/מערכת_השמש,3,3,3,3,0
35,מערכת השמש,iw,2,כוכב לכת - ויקיפדיה,https://he.wikipedia.org/wiki/כוכב_לכת,2,2,3,3,0
35,מערכת השמש,iw,3,"מערכת השמש: איך היא נוצרה, וממה היא מורכבת?",https://www.space.gov.il/תגיות/מערכת-השמש,3,3,3,3,0
35,المجموعة الشمسية,ar,1,المجموعة الشمسية - ويكيبيديا,https://ar.wikipedia.org/wiki/المجموعة_الشمسية,3,3,3,3,0
35,المجموعة الشمسية,ar,2,بوابة:المجموعة الشمسية - ويكيبيديا,https://ar.wikipedia.org/wiki/بوابة:المجموعة_الشمسية,3,2,3,2,0
35,المجموعة الشمسية,ar,3,ما هي كواكب المجموعة الشمسية - موضوع,https://mawdoo3.com/ما_هي_كواكب_المجموعة_الشمسية,3,3,1,1,0
38,Evolution,en,1,Evolution - Wikipedia,https://en.wikipedia.org/wiki/Evolution,3,3,3,3,0
38,Evolution,en,2,"evolution | Definition, History, Types, & Examples | Britannica",https://www.britannica.com/science/evolution-scientific-theory,3,3,3,3,0
38,Evolution,en,3,Understanding Evolution - Your one-stop source for ...,https://evolution.berkeley.edu/,2,2,2,3,0
38,Эволюция,ru,1,Эволюция - Википедия,https://ru.wikipedia.org/wiki/Эволюция,3,3,3,3,0
38,Эволюция,ru,2,Эволюция — LiveJournal,https://evo-lutio.livejournal.com/,1,1,0,1,1
38,Эволюция,ru,3,Эволюция (2001) - Кинопоиск,https://www.kinopoisk.ru/film/5413/,0,1,1,0,0
38,אבולוציה,iw,1,אבולוציה - ויקיפדיה,https://he.wikipedia.org/wiki/אבולוציה,3,3,3,3,0
38,אבולוציה,iw,2,אבולוציה - מכון דוידסון,https://davidson.weizmann.ac.il/online/maagarmada/life_sci/אבולוציה,1,1,2,2,0
38,אבולוציה,iw,3,אבולוציה – אשכול כתבות וסרטונים - מכון דוידסון,https://davidson.weizmann.ac.il/online/maagarmada/life_sci/אבולוציה-אשכול-כתבות-וסרטונים,2,3,2,2,0
38,تطور,ar,1,تطور - ويكيبيديا,https://ar.wikipedia.org/wiki/تطور,3,3,3,3,0
38,تطور,ar,2,تطور - ويكيبيديا,https://arz.wikipedia.org/wiki/تطور,3,2,3,3,0
38,تطور,ar,3,"نظرية التطور: بعد 162عاما على صدوره، ""في أصل الأنواع"" ما زال ...",https://www.bbc.com/arabic/science-and-tech-59368293,3,2,3,2,0
39,PCR,en,1,Polymerase Chain Reaction (PCR) - National Human ...,https://www.genome.gov/genetics-glossary/Polymerase-Chain-Reaction,2,3,2,3,0
39,PCR,en,2,COVID-19 and PCR Testing - Cleveland Clinic,https://my.clevelandclinic.org/health/diagnostics/21462-covid-19-and-pcr-testing,3,3,2,3,0
39,PCR,en,3,Polymerase chain reaction - Wikipedia,https://en.wikipedia.org/wiki/Polymerase_chain_reaction,3,3,2,2,0
39,PCR,iw,1,איך ואיפה עושים בדיקות - מרכז המידע לקורונה של משרד הבריאות,https://corona.health.gov.il/testing-lobby/how-to-test/,3,2,3,2,0
39,PCR,iw,2,מתי צריך לעשות בדיקת קורונה - מרכז המידע לקורונה של משרד ...,https://corona.health.gov.il/testing-lobby/when-to-be-tested/,3,3,3,3,0
39,PCR,iw,3,Polymerase Chain Reaction (PCR) - National Human ...,https://www.genome.gov/genetics-glossary/Polymerase-Chain-Reaction,3,3,3,3,0
39,ПЦР,ru,1,ПЦР: что это такое? Диагностика инфекционных ... - Инвитро,https://www.invitro.ru/library/labdiagnostika/16110/,3,1,1,2,1
39,ПЦР,ru,2,Полимеразная цепная реакция - Википедия,https://ru.wikipedia.org/wiki/Полимеразная_цепная_реакция,3,2,1,3,0
39,ПЦР,ru,3,ПЦР-тесты на COVID-19 в Москве - Гемотест,https://gemotest.ru/moskva/covid19/tests/pcr/,1,1,1,2,1
39,تفاعل البوليمراز المتسلسل,ar,1,تفاعل البوليمراز المتسلسل - ويكيبيديا,https://ar.wikipedia.org/wiki/تفاعل_البوليمراز_المتسلسل,3,2,1,3,0
39,تفاعل البوليمراز المتسلسل,ar,2,تفاعل البوليمراز المتسلسل بالزمن الحقيقي - ويكيبيديا,https://ar.wikipedia.org/wiki/تفاعل_البوليمراز_المتسلسل_بالزمن_الحقيقي,3,1,1,3,0
39,تفاعل البوليمراز المتسلسل,ar,3,تفاعل البوليميراز المتسلسل: إجراء الفحص وتحليل النتائج,https://www.webteb.com/hematology/تفاعل-سلسلة-البوليميراز,3,3,1,1,1
42,mRNA,en,1,Messenger RNA (mRNA) - National Human Genome ...,https://www.genome.gov/genetics-glossary/messenger-rna,3,2,3,3,0
42,mRNA,en,2,Understanding mRNA COVID-19 Vaccines | CDC,https://www.cdc.gov/coronavirus/2019-ncov/vaccines/different-vaccines/mrna.html,3,3,1,3,0
42,mRNA,en,3,Moderna: Pioneering mRNA technology,https://www.modernatx.com/,2,2,3,3,0
42,mRNA,iw,1,mRNA - ויקיפדיה,https://he.wikipedia.org/wiki/MRNA,3,1,2,3,0
42,mRNA,iw,2,מה זה חיסון RNA? - מדעת,https://www.midaat.org.il/articles/diseases/covid19/rna_vaccine/,3,3,1,3,0
42,mRNA,iw,3,Messenger RNA (mRNA) - National Human Genome ...,https://www.genome.gov/genetics-glossary/messenger-rna,3,2,3,3,0
42,мРНК,ru,1,Матричная РНК - Википедия,https://ru.wikipedia.org/wiki/Матричная_РНК,3,1,2,3,0
42,мРНК,ru,2,"Разбираемся, как действуют мРНК ВАКЦИНЫ - Pfizer.ru",https://www.pfizer.ru/разбираемся-как-действуют-мрнк-вакцины,3,1,0,2,1
42,мРНК,ru,3,Как работают вакцины против COVID-19 на основе мРНК,https://www.cdc.gov/coronavirus/2019-ncov/downloads/vaccines/COVID-19-mRNA-infographic_G_Russian.pdf,3,2,1,1,0
42,الحمض النووي الريبي المرسال,ar,1,لقاحات الحمض النووي الريبي المرسال (mRNA) وعلاقتها بالمناعة,https://www.mayoclinic.org/ar/mrna-vaccines-immunity/vid-20507649,1,0,1,1,0
42,الحمض النووي الريبي المرسال,ar,2,لقاحات الحمض النووي الريبي المرسال ضد «كوفيد-19» آمنة ...,https://www.scientificamerican.com/arabic/articles/news/mrna-covid-19-vaccines-safe-for-people-with-cancer/,1,1,2,1,1
42,الحمض النووي الريبي المرسال,ar,3,مُستقبَل تقنية الحمض النووي الريبي المرسال - للعِلم - ...,https://www.scientificamerican.com/arabic/articles/news/the-future-of-mrna/,0,2,1,1,1
43,genome,en,1,Definition - National Human Genome Research Institute,https://www.genome.gov/genetics-glossary/Genome,3,2,3,2,0
43,genome,en,2,Genome - Wikipedia,https://en.wikipedia.org/wiki/Genome,3,3,3,3,0
43,genome,en,3,Home - Genome - NCBI,https://www.ncbi.nlm.nih.gov/genome/,1,3,0,2,0
43,геном,ru,1,Геном - Википедия,https://ru.wikipedia.org/wiki/Геном,3,3,0,3,0
43,геном,ru,2,"""ГенОм"" - Центр молекулярной медицины",https://igenom.ru/,0,1,1,3,0
43,геном,ru,3,Что такое геном и можно ли его редактировать | РБК Тренды,https://trends.rbc.ru/trends/education/622866989a79475148ca843d,1,1,1,3,0
43,גנום,iw,1,גנום - ויקיפדיה,https://he.wikipedia.org/wiki/גנום,3,2,1,3,0
43,גנום,iw,2,גנום האדם - ויקיפדיה,https://he.wikipedia.org/wiki/גנום_האדם,2,2,1,3,0
43,גנום,iw,3,"מיפוי הגנום האנושי הושלם, אבל הדרך ארוכה לפענוח מלא שלו - גלובס",https://www.globes.co.il/news/article.aspx?did=1001408633,1,2,1,2,1
43,الجينوم,ar,1,علم الجينوم - ويكيبيديا,https://ar.wikipedia.org/wiki/علم_الجينوم,3,3,2,3,0
43,الجينوم,ar,2,مجموع مورثي - ويكيبيديا,https://ar.wikipedia.org/wiki/مجموع_مورثي,2,2,2,3,0
43,الجينوم,ar,3,الجزء الأول : ما هو الجينوم، وما هي أهمية دراسته؟,https://arsco.org/article-detail-1752-3-0,3,2,3,2,0
44,Mars,en,1,NASA Mars Exploration,https://mars.nasa.gov/,3,3,3,3,0
44,Mars,en,2,"Global Petcare, Food, Mars Wrigley and Edge Brands",https://www.mars.com/,0,0,0,3,1
44,Mars,en,3,Mars - Wikipedia,https://en.wikipedia.org/wiki/Mars,3,3,3,3,0
44,Марс,ru,1,Марс - Википедия,https://ru.wikipedia.org/wiki/Марс,3,3,3,3,0
44,Марс,ru,2,Центр современного искусства МАРС - выставочный центр ...,https://centermars.ru/,0,0,0,1,1
44,Марс,ru,3,Марс — все статьи и новости - Индикатор - Indicator.Ru,https://indicator.ru/label/mars,3,2,3,2,0
44,מאדים,iw,1,מאדים - ויקיפדיה,https://he.wikipedia.org/wiki/מאדים,3,3,3,3,0
44,מאדים,iw,2,"מאדים: כתבות, מאמרים ומידע מרתק | סוכנות החלל הישראלית",https://www.space.gov.il/תגיות/מאדים,3,3,2,2,0
44,מאדים,iw,3,כוכב הלכת מאדים - מטח,https://lib.cet.ac.il/pages/item.asp?item=7895,3,3,2,1,0
44,المريخ,ar,1,المريخ - ويكيبيديا,https://ar.wikipedia.org/wiki/المريخ,3,3,3,3,0
44,المريخ,ar,2,مريخ - ويكيبيديا,https://arz.wikipedia.org/wiki/مريخ,3,2,1,2,0
44,المريخ,ar,3,المريخ | علوم وتكنولوجيا | آخر الاكتشافات والدراسات من DW ...,https://www.dw.com/ar/المريخ/t-18900921,2,1,0,1,0
45,asteroids,en,1,Overview | Asteroids – NASA Solar System Exploration,https://solarsystem.nasa.gov/asteroids-comets-and-meteors/asteroids/overview/,3,3,3,3,0
45,asteroids,en,2,Asteroid - Wikipedia,https://en.wikipedia.org/wiki/Asteroid,3,3,3,3,0
45,asteroids,en,3,Asteroids: Fun facts and information about these space rocks,https://www.space.com/51-asteroids-formation-discovery-and-exploration.html,3,3,3,2,1
45,астероиды,ru,1,АСТЕРОИДЫ,http://selena.sai.msu.ru/Home/SolarSystem/asteroids/asteroids.htm,3,3,2,1,0
45,астероиды,ru,2,Астероид — все статьи и новости - Индикатор - Indicator.Ru,https://indicator.ru/label/asteroid,3,2,3,2,0
45,астероиды,ru,3,Что такое астероиды и угрожают ли они Земле | РБК Тренды,https://trends.rbc.ru/trends/futurology/622afff69a7947c546373f4c,3,2,2,3,0
45,אסטרואיד,iw,1,אסטרואיד - ויקיפדיה,https://he.wikipedia.org/wiki/אסטרואיד,3,2,1,3,0
45,אסטרואיד,iw,2,"מהו אסטרואיד, והאם הוא עלול לסכן את כדור הארץ? - סוכנות החלל ...",https://www.space.gov.il/תגיות/אסטרואיד,3,3,3,3,0
45,אסטרואיד,iw,3,אסטרואידים - מטח,https://lib.cet.ac.il/pages/item.asp?item=8200,3,2,2,1,0
45,الكويكبات,ar,1,كويكب - ويكيبيديا,https://ar.wikipedia.org/wiki/كويكب,3,3,3,3,0
45,الكويكبات,ar,2,حزام الكويكبات - ويكيبيديا,https://ar.wikipedia.org/wiki/حزام_الكويكبات,2,3,2,3,0
45,الكويكبات,ar,3,ماهي الكويكبات؟ - مجلة ناشيونال جيوغرافيك العربية,https://ngalarabiya.com/article/4211183/ماهي-الكويكبات,3,2,1,3,0
46,CRISPR,en,1,Home Page | CRISPR,http://www.crisprtx.com/,3,3,1,3,0
46,CRISPR,en,2,What are genome editing and CRISPR-Cas9? - MedlinePlus,,3,3,0,3,0
46,CRISPR,en,3,Questions and Answers about CRISPR | Broad Institute,https://www.broadinstitute.org/what-broad/areas-focus/project-spotlight/questions-and-answers-about-crispr,3,3,1,3,0
46,криспр,ru,1,CRISPR - Википедия,https://ru.wikipedia.org/wiki/CRISPR,3,1,3,3,0
46,криспр,ru,2,CRISPR «для чайников»: краткий путеводитель по главной ...,https://hightech.plus/2018/07/25/crispr-dlya-chainikov-kratkii-putevoditel-po-glavnoi-bitehnologii,2,1,1,2,0
46,криспр,ru,3,Редактирование генома с CRISPR/Cas9 - ПостНаука,https://postnauka.ru/faq/59807,3,3,3,2,0
46,קריספר,iw,1,קריספר - ויקיפדיה,https://he.wikipedia.org/wiki/קריספר,3,1,1,3,0
46,קריספר,iw,2,עריכה גנטית: הדור הבא? - מכון דוידסון,https://davidson.weizmann.ac.il/online/sciencenews/עריכה-גנטית-הדור-הבא,3,2,1,3,0
46,קריספר,iw,3,מלחמות הקריספר - מכון דוידסון,https://davidson.weizmann.ac.il/online/sciencepanorama/מלחמות-הקריספר,2,2,1,2,1
46,كريسبر,ar,1,كريسبر - ويكيبيديا,https://ar.wikipedia.org/wiki/كريسبر,2,2,1,3,0
46,كريسبر,ar,2,تعديل كريسبر - ويكيبيديا,https://ar.wikipedia.org/wiki/تعديل_كريسبر,3,1,1,3,0
46,كريسبر,ar,3,المقص الجيني: أحدث ما تم التوصل إليه - WIPO,https://www.wipo.int/wipo_magazine/ar/2020/04/article_0004.html,0,0,0,1,1
