,title,link,source,date,thumbnail,query,lang,country,termid
1,Cities Brace for Apocalyptic Flooding As New Age of Super Storms Dawns,https://www.newsweek.com/2022/05/27/cities-brace-apocalyptic-flooding-new-age-super-storms-dawns-1705402.html,Newsweek,1 day ago,https://serpapi.com/searches/627cfedfce87f8ea4a81c838/images/28d181780a20c265b50459a9aa7e8a444f1518ecd79b0d96.jpeg,Flood,en,US,70
2,"What do water levels mean for Ohio River, area rivers and creeks?",https://www.cincinnati.com/story/weather/2022/05/12/what-river-levels-mean-floods-ohio-river-cincinnati/9728607002/,Cincinnati Enquirer,59 mins ago,https://serpapi.com/searches/627cfedfce87f8ea4a81c838/images/28d181780a20c265fcb1ec51b6d2698f28fd6ab7bbb42ca1.jpeg,Flood,en,US,70
3,Good Samaritan saves driver stranded in flood waters,https://www.kare11.com/article/weather/good-samaritan-saves-driver-stranded-vadnais-heights/89-780ae969-08bc-4a9c-a88d-9ddcd589168b,KARE 11,30 mins ago,https://serpapi.com/searches/627cfedfce87f8ea4a81c838/images/28d181780a20c265138de8a3e62d1f17300b159d8a2cca01.jpeg,Flood,en,US,70
0,"Amid drought, California desalination project at crossroads",https://abcnews.go.com/US/wireStory/amid-drought-california-desalination-project-crossroads-84662737,ABC News,6 hours ago,https://serpapi.com/searches/627cfee1437af282fc44eea9/images/fcf2bb213306cec1f4bb74211a87e8121636532c0382d9ca.jpeg,Drought,en,US,71
1,California to decide fate of controversial desalination plant amid brutal drought,https://www.theguardian.com/environment/2022/may/11/california-desalination-plant-water-drought,The Guardian,23 hours ago,https://serpapi.com/searches/627cfee1437af282fc44eea9/images/fcf2bb213306cec1773d6279b95a43b95e26f1b789463fad.jpeg,Drought,en,US,71
2,"Amid drought, California desalination project at crossroads",https://wtop.com/national/2022/05/amid-drought-california-desalination-project-at-crossroads/,WTOP,7 hours ago,https://serpapi.com/searches/627cfee1437af282fc44eea9/images/fcf2bb213306cec197b0213d137ef809ab8e30fb521c8ef7.jpeg,Drought,en,US,71
3,"Amid drought, California desalination project at crossroads",https://www.wsav.com/news/national-news/amid-drought-california-desalination-project-at-crossroads/,WSAV-TV,7 hours ago,https://serpapi.com/searches/627cfee1437af282fc44eea9/images/fcf2bb213306cec10b21db61204ac0379e87039e8ea75d7d.jpeg,Drought,en,US,71
4,"Amid Drought, California Desalination Project at Crossroads",https://www.usnews.com/news/us/articles/2022-05-12/amid-drought-california-desalination-project-at-crossroads,USNews.com,7 hours ago,https://serpapi.com/searches/627cfee1437af282fc44eea9/images/fcf2bb213306cec1797808af3fd646a4a4257dd7f4689d70.jpeg,Drought,en,US,71
5,Submerged human corpses rise from drought-stricken Lake Mead,https://www.livescience.com/drought-lake-bodies,Live Science,1 day ago,https://serpapi.com/searches/627cfee1437af282fc44eea9/images/fcf2bb213306cec10be2a7d4b68b06d763918a0b539e767e.jpeg,Drought,en,US,71
6,California braces for extreme summer drought after dismal wet season,https://www.washingtonpost.com/weather/2022/05/11/california-drought-summer-restrictions-snowpack/,The Washington Post,21 hours ago,https://serpapi.com/searches/627cfee1437af282fc44eea9/images/fcf2bb213306cec1fb7c56cda31b1906b1b1eb8b8458cd91.jpeg,Drought,en,US,71
0,Tinubu commends farmers over food security,https://punchng.com/tinubu-commends-farmers-over-food-security/,Punch Newspapers,4 hours ago,https://serpapi.com/searches/627cfee8edb0348ea0a0e39f/images/1d7f3332474dc34b41b63b80c2734e787ddb5b3eb47ecf58.jpeg,Food Security,en,NG,54
1,Working for food security and sustainable development in the face of crises and overlapping challenges - World,https://reliefweb.int/report/world/working-food-security-and-sustainable-development-face-crises-and-overlapping,ReliefWeb,2 days ago,https://serpapi.com/searches/627cfee8edb0348ea0a0e39f/images/1d7f3332474dc34bcd7c44ec6ee7c1ca07e8b3c6b6751c04.jpeg,Food Security,en,NG,54
2,"Urban-rural food satisfaction, food security gaps show in new report","https://www.purdue.edu/newsroom/releases/2022/Q2/urban-rural-food-satisfaction,-food-security-gaps-show-in-new-report.html",Purdue University,19 hours ago,https://serpapi.com/searches/627cfee8edb0348ea0a0e39f/images/1d7f3332474dc34bccc780d7185529624e923fc5976b65c5.png,Food Security,en,NG,54
0,Renewable power is set to break another global record in 2022 despite headwinds from higher costs and supply chain ...,https://www.iea.org/news/renewable-power-is-set-to-break-another-global-record-in-2022-despite-headwinds-from-higher-costs-and-supply-chain-bottlenecks,IEA,1 day ago,,Renewable Energy,en,NG,58
1,"Avoid using gas as ‘transition’ fuel in move to clean energy, study urges",https://www.theguardian.com/environment/2022/may/10/avoid-using-gas-transition-fuel-move-clean-energy-study-urges,The Guardian,2 days ago,https://serpapi.com/searches/627cfef39f55b30b2e4134cd/images/e54f3177b11375c09c91e95d0ef1cae79752d6445c1b8e9b.jpeg,Renewable Energy,en,NG,58
2,Renewable Energy Market Update - May 2022 - Event,https://www.iea.org/events/renewable-energy-market-update-may-2022,IEA,1 day ago,,Renewable Energy,en,NG,58
0,France’s unprecedented drought shows climate change is ‘spiralling out of control’,https://www.france24.com/en/environment/20220511-france-s-unprecedented-drought-shows-climate-change-is-spiralling-out-of-control,France 24,21 hours ago,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ9k2XV8dCOvHpNubnYAzoTewByo02fCu1nzxpt-lKsbmvHTP28qSiHrkU&usqp=CAI&s,Climate change,en,NG,59
1,Climate change is devastating the Global South,https://www.aljazeera.com/opinions/2022/5/11/climate-change-is-devastating-the-global-south,Al Jazeera,1 day ago,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTpcjeifkAUtiP47EkQKITjmebnRA_C0DJyGm6KfSdDLf7xuawQrbVm4ks&usqp=CAI&s,Climate change,en,NG,59
2,"Authorities blame climate change after 6 died, 42 injured in Yobe",https://www.pulse.ng/news/metro/authorities-blame-climate-change-after-6-died-42-injured-in-yobe/0233zzs,Pulse Nigeria,21 hours ago,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSnguM26DNGf5on3zr2XipNpcjJx2ADej51BAN69CbAVMo4WMgu5jJXPOg&usqp=CAI&s,Climate change,en,NG,59
3,The North and South Poles Are Melting. Time To Take it Seriously,https://time.com/6174966/north-south-pole-melting-climate-change/,TIME,1 day ago,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRkWdntr6RXtlubRgr4v5qiNR5itJplEjEfGGd1kpixOyyundDoIslpx4A&usqp=CAI&s,Climate change,en,NG,59
0,Kim declares 'most serious emergency' as North Korea reports first Covid cases,https://www.nbcnews.com/news/world/north-korea-reports-first-coronavirus-infection-rcna28451,NBC News,11 hours ago,https://serpapi.com/searches/627cff087d171aee13062329/images/dd15e3767f12923b8b536bf19d469ad4973fa6acfb2189f6.jpeg,Infection,en,NG,68
1,North Korea confirms first-ever COVID infection,https://www.dw.com/en/north-korea-confirms-first-ever-covid-infection/a-61765781,DW,9 hours ago,https://serpapi.com/searches/627cff087d171aee13062329/images/dd15e3767f12923bc11627109a59ba4a56fa8566e35424b8.jpeg,Infection,en,NG,68
2,Targets for Infection: How SARS-CoV-2 Damages the Kidneys,https://www.forbes.com/sites/williamhaseltine/2022/05/09/targets-for-infection-how-sars-cov-2-damages-the-kidneys/,Forbes,2 days ago,https://serpapi.com/searches/627cff087d171aee13062329/images/dd15e3767f12923ba91ecafa65abcef5cc209bd2add0ea9e.jpeg,Infection,en,NG,68
0,Abuja residents cry out over threat of flood - The Nation Newspaper,https://thenationonlineng.net/abuja-residents-cry-out-over-threat-of-flood/,The Nation Newspaper,1 day ago,https://serpapi.com/searches/627cff0c2348846a3be45eac/images/6b9d4ba970b963772ec8083f1bec5ac1db1c26f5492b9b64.jpeg,Flood,en,NG,70
1,Mr & Mrs: She wants him swimming flood for her handbag,https://www.vanguardngr.com/2022/05/mr-mrs-she-wants-him-swimming-flood-for-her-handbag/,Vanguard News,6 hours ago,https://serpapi.com/searches/627cff0c2348846a3be45eac/images/6b9d4ba970b9637705588c0ed6991cf5f571959b6a714ea3.jpeg,Flood,en,NG,70
2,Stop wasting money on flood cars – Awoof Car,https://dailypost.ng/2022/05/11/stop-wasting-money-on-flood-cars-awoof-car/,Daily Post Nigeria,1 day ago,https://serpapi.com/searches/627cff0c2348846a3be45eac/images/6b9d4ba970b96377fd16c96cc5402cb1f64dd7a29946e209.jpeg,Flood,en,NG,70
3,"British Red Cross visits Ikorodu monarch, raises awareness on flood",https://www.vanguardngr.com/2022/05/british-red-cross-visits-ikorodu-monarch-raises-awareness-on-flood/,Vanguard News,23 hours ago,https://serpapi.com/searches/627cff0c2348846a3be45eac/images/6b9d4ba970b96377535d6a1da2fa9bc12d8afc552f4b687b.jpeg,Flood,en,NG,70
0,France’s unprecedented drought shows climate change is ‘spiralling out of control’,https://www.france24.com/en/environment/20220511-france-s-unprecedented-drought-shows-climate-change-is-spiralling-out-of-control,France 24,21 hours ago,https://serpapi.com/searches/627cff13eb690ff8011af704/images/c66be9810ad05bf988ffd1ef478ba3f7ed7284586ef3f7ad.jpeg,Drought,en,NG,71
1,Step up action on drought - World,https://reliefweb.int/report/world/step-action-drought,ReliefWeb,1 hour ago,https://serpapi.com/searches/627cff13eb690ff8011af704/images/c66be9810ad05bf95dc160d7866bbd0569199a0aa68c9bf1.png,Drought,en,NG,71
2,California braces for extreme summer drought after dismal wet season,https://www.washingtonpost.com/weather/2022/05/11/california-drought-summer-restrictions-snowpack/,The Washington Post,21 hours ago,https://serpapi.com/searches/627cff13eb690ff8011af704/images/c66be9810ad05bf99fdebfa96635d0702562e60eb162d3eb.jpeg,Drought,en,NG,71
0,"В ООН опасаются, что к 2026 году глобальное потепление превысит 1,5 градуса",https://www.dw.com/ru/v-oon-opasajutsja-chto-k-2026-godu-globalnoe-poteplenie-prevysit-15-gradusa/a-61751246,DW,1 день назад,https://serpapi.com/searches/627cff5df55d77a0f542d84b/images/ff042f71218665b6f95faeb2d8ed2202faf4df784d9c7488.jpeg,Глобальное потепление,ru,RU,59
0,"Наводнение, вызванное ливневыми дождями, в Сурхандарьинской области унесло жизни 3 человек",https://uzreport.news/society/navodnenie-vizvannoe-livnevimi-dojdyami-v-surhandarinskoy-oblasti-uneslo-jizni-3-chelovek,UzReport.news,1 день назад,https://serpapi.com/searches/627cff6af05eb832d499f305/images/51b204f971bd068fe9cebf69a106ac309ecd3ecf21f9e84d.jpeg,Наводнение,ru,RU,70
1,Два человека погибли при наводнениях на юге Узбекистана - ИА REGNUM,https://regnum.ru/news/3587960.html,ИА Regnum,14 часов назад,https://serpapi.com/searches/627cff6af05eb832d499f305/images/51b204f971bd068f90671d2789cf8dcd0dae0f0f15fc1002.jpeg,Наводнение,ru,RU,70
2,В австралийском Квинсленде в результате наводнения погибла женщина - ИА REGNUM,https://regnum.ru/news/3587074.html,ИА Regnum,1 день назад,https://serpapi.com/searches/627cff6af05eb832d499f305/images/51b204f971bd068f7aade4d2924a92050ef491c390d985c8.jpeg,Наводнение,ru,RU,70
0,В каких регионах Казахстана в мае ожидается сильная засуха,https://informburo.kz/novosti/v-kakih-regionah-kazahstana-v-mae-ozhidaetsya-silnaya-zasuha,Informburo.kz,2 дня назад,https://serpapi.com/searches/627cff6ca3f4ef44a725b522/images/13661e6349c1556827ae771e9abd9b60468feb30ed7f2e38.jpeg,Засуха,ru,RU,71
1,216 млн человек мигрируют из-за засухи,https://ru.euronews.com/2022/05/12/drought-displaced,Euronews,4 часа назад,https://serpapi.com/searches/627cff6ca3f4ef44a725b522/images/13661e6349c155683b91836ee6facf85b2343e30282531be.jpeg,Засуха,ru,RU,71
2,Засуха помогла курганцам вывести новые сорта пшеницы. Фото,https://ura.news/news/1052552622,Ura.ru,1 час назад,https://serpapi.com/searches/627cff6ca3f4ef44a725b522/images/13661e6349c155685baed9e78f5789afd97cc6c6915d678c.jpeg,Засуха,ru,RU,71
3,Засуха помешает французской пшенице спасти мир от дефицита,https://www.profinance.ru/news/2022/05/12/c5ux-zasukha-pomeshaet-frantsuzskoj-pshenitse-spasti-mir-ot-defitsita.html,ProFinance.Ru,1 час назад,https://serpapi.com/searches/627cff6ca3f4ef44a725b522/images/13661e6349c1556840a8dba53bc19251ad72c5ddae10bb7c.jpeg,Засуха,ru,RU,71
0,La ONU alerta del impacto negativo de la guerra de Ucrania en la seguridad alimentaria global - NIUS,https://www.niusdiario.es/internacional/europa/onu-antonio-guterres-alerta-impacto-negativo-seguridad-alimentaria-guerra-ucrania_18_3328248805.html,NIUS,Hace 21 horas,https://serpapi.com/searches/627cffa5fa8675e8bbaf4bf0/images/d3836871d6c916e306600ebfcad95855b62098b2bceb2e60.jpeg,Seguridad alimentaria,es,ES,54
1,La secretaria general de Pesca subraya el valor de la pesca artesanal de pequeña escala para la seguridad alimentaria,https://www.lavanguardia.com/local/sevilla/20220511/8260453/secretaria-general-pesca-subraya-valor-pesca-artesanal-pequena-escala-seguridad-alimentaria.html,La Vanguardia,Hace 15 horas,https://serpapi.com/searches/627cffa5fa8675e8bbaf4bf0/images/d3836871d6c916e33edb67a8ea08d359b932139b3ce16140.jpeg,Seguridad alimentaria,es,ES,54
0,Panorama - Acciona Energía llevará energía renovable a los hoteles del grupo NH de España y Portugal - Energías ...,https://www.energias-renovables.com/panorama/acciona-energia-llevara-energia-renovable-a-los-20220510,Energias Renovables,Hace 2 días,https://serpapi.com/searches/627cffb45fc493a2daa7eaba/images/e9f509892af1e37630d7dc273e62abc5f17701ab68146378.jpeg,Energía renovable,es,ES,58
1,La energía renovable comercializada en España aumentó un 12% el año pasado,https://www.eleconomista.es/energia/noticias/11758035/05/22/La-energia-renovable-comercializada-en-Espana-aumento-un-12-el-ano-pasado.html,elEconomista.es,Hace 2 días,https://serpapi.com/searches/627cffb45fc493a2daa7eaba/images/e9f509892af1e37665f74679be342c02f04aa4ea5772300c.jpeg,Energía renovable,es,ES,58
2,"Meta no renuncia a los NFT, pero usará energía renovable para compensar",https://www.mundodeportivo.com/urbantecno/aplicaciones/nft-impacto-medio-ambiente-meta-energia-renovable,Mundo Deportivo,Hace 1 día,https://serpapi.com/searches/627cffb45fc493a2daa7eaba/images/e9f509892af1e376df24c8aa3bc51211743d62af80a3e01a.jpeg,Energía renovable,es,ES,58
0,"El calentamiento global podría superar los 1,5ºC en los próximos cinco años - Diario16",https://diario16.com/el-calentamiento-global-podria-superar-los-15oc-en-los-proximos-cinco-anos/,Diario 16,Hace 23 horas,https://serpapi.com/searches/627cffb8607393c0ca620534/images/fa7d1b588dad9698ed5072b5a6298150a25127db316a5eaf.jpeg,Calentamiento global,es,ES,59
1,"Hay una probabilidad del 50% de que el calentamiento global supere los 1,5° C antes de 2025",https://elperiodicodelaenergia.com/hay-una-probabilidad-del-50-de-que-el-calentamiento-global-supere-los-15-c-antes-de-2025/,El Periódico de la Energía,Hace 1 día,https://serpapi.com/searches/627cffb8607393c0ca620534/images/fa7d1b588dad9698d17c7b304659200d5b66727d80926a23.jpeg,Calentamiento global,es,ES,59
2,El calentamiento avanza y se acerca a los límites de seguridad que fija el Acuerdo de París,https://elpais.com/clima-y-medio-ambiente/2022-05-10/el-calentamiento-avanza-y-se-acerca-a-los-limites-de-seguridad-que-fija-el-acuerdo-de-paris.html,EL PAÍS,Hace 2 días,https://serpapi.com/searches/627cffb8607393c0ca620534/images/fa7d1b588dad96986984fe84b9dca428bd4bc87ecfb895f0.jpeg,Calentamiento global,es,ES,59
3,"Hay un 50% de probabilidades de que el calentamiento global supere los 1,5ºC en los próximos cinco años",https://news.un.org/es/story/2022/05/1508392,UN News,Hace 2 días,https://serpapi.com/searches/627cffb8607393c0ca620534/images/fa7d1b588dad9698a67a22ee4c8065cedb0744614e9986ac.jpeg,Calentamiento global,es,ES,59
4,"ONU: Hay un 50% de probabilidades de que el calentamiento global supere el límite de 1,5 grados",https://www.huffingtonpost.es/entry/onu-hay-un-50-de-probabilidades-de-que-el-calentamiento-global-supere-el-limite-de-15-grados_es_627a021de4b00fbab632a13f,El HuffPost,Hace 2 días,https://serpapi.com/searches/627cffb8607393c0ca620534/images/fa7d1b588dad969884419faa37b7767fea7fe883322ed395.jpeg,Calentamiento global,es,ES,59
5,Qué son las 'bombas de carbón' que pueden ser claves en el calentamiento global - NIUS,https://www.niusdiario.es/sociedad/medio-ambiente/bombas-carbon-claves-calentamiento-global_18_3328248005.html,NIUS,Hace 23 horas,https://serpapi.com/searches/627cffb8607393c0ca620534/images/fa7d1b588dad96987646871f065ca6f09639597db9fa0849.jpeg,Calentamiento global,es,ES,59
6,"El calentamiento global, la mayor amenaza para la gran barrera de coral en Australia",https://cnnespanol.cnn.com/video/australia-barrera-coral-calentamiento-global-nuestro-cnn/,CNN en Español,Hace 15 horas,https://serpapi.com/searches/627cffb8607393c0ca620534/images/fa7d1b588dad9698167ca244eca3de3477719ca43b464870.jpeg,Calentamiento global,es,ES,59
0,Descubren una forma de bloquear la infección por COVID-19,https://www.lasexta.com/tecnologia-tecnoxplora/ciencia/descubren-forma-bloquear-infeccion-covid19_20220511627b9ba52632cd00018b5057.html,laSexta,Hace 1 día,https://serpapi.com/searches/627cffce1baebbc3a676726c/images/860ea7b5f87fa6d91f3442e429f42c9171f72095442d7a5e.jpeg,Infección,es,ES,68
1,Descubren la fórmula que bloquea la infección por covid,https://www.levante-emv.com/salud/2022/05/10/descubren-formula-bloquea-infeccion-covid-65937267.html,Levante-EMV,Hace 1 día,https://serpapi.com/searches/627cffce1baebbc3a676726c/images/860ea7b5f87fa6d9461679c41f0237d2994dba13f7156995.jpeg,Infección,es,ES,68
2,¿Puedo consumir alcohol si estoy tomando antibióticos? 5 mitos y verdades sobre estos medicamentos,https://www.lavanguardia.com/vivo/lifestyle/20220511/8260176/consumir-alcohol-tomando-antibioticos-mitos-verdades-nbs.html,La Vanguardia,Hace 18 horas,https://serpapi.com/searches/627cffce1baebbc3a676726c/images/860ea7b5f87fa6d9b97d7962673ac9c72e87a0b238eb34dd.jpeg,Infección,es,ES,68
3,Alerta sanitaria: retirada total de estos populares cosméticos por la infección de una bacteria,https://www.elespanol.com/ciencia/salud/20220509/alerta-sanitaria-retirada-populares-cosmeticos-infeccion-bacteria/671182942_0.html,El Español,Hace 3 días,https://serpapi.com/searches/627cffce1baebbc3a676726c/images/860ea7b5f87fa6d9c12bd624a2dd0fffefebbbf06d92e01d.jpeg,Infección,es,ES,68
